premise,question,choice1,choice2,choice3,label,idx
Austin ran right to the store after finding out the new video game had released.,Why did Austin do this?,save money,spend their money,play the new video game,2,87
Kendall had some customers who attended the conference. Sasha met Kendall's customers at the conference.,What will happen to Sasha?,be introduced,be dismissed,she will meet them,0,88
Quinn came out of the doctor looking very sad and depressed. Sasha was there to pick him up.,What will happen to Sasha?,ask him about his results,yell at him,wrong,0,89
Casey made her lunch quickly when she got home from work.,What does Casey need to do before this?,go to her house,eat while working,eat the lunch,0,90
"sasha promised robert she would bring his homework, but she forgot it.",How would you describe Sasha?,as careless,as smart,shasha who has promised robert,0,91
Bailey had a major project due in her American History class at school and she worked very hard on it.,How would Bailey feel afterwards?,very hardworking studious,like she had forgotten an important task,like she accomplished something important,2,92
Robin managed their team at work well and completed all the tasks on time.,What does Robin need to do before this?,be rewarded next,be in charge,start a business,1,93
"After thinking about asking out Becky for weeks, Austin finally worked up the courage and they became a couple by the end of the week.",How would Austin feel afterwards?,embarrassed and sad,someone who can overcome his fears,happy they took a chance,2,94
Sydney gave Ash a bit of advice about fishing off of the bridge.,How would Ash feel as a result?,very angry,very informed,knowledgeable about fishing,2,95
Robin was a pro at eating Chinese food and taught them how to use chopsticks.,What will Others want to do next?,learn quickly,like Chinese food,spit out food,0,96
"Ash took their laptop to be repaired, but the store couldn't do anything about it.",How would Ash feel afterwards?,sorry,frustrated afterwards,useless afterwards,1,97
To all of her friends' surprise when they asked her to speak Quinn spoke Japanese fluently.,Why did Quinn do this?,seem like she was Japanese,be a showoff,surprise her friends,2,98
Skylar bought lunch the other day for his friend at their favorite restaurant.,How would you describe Skylar?,As nice,friendly,As talkative,0,99
Jesse took off Sasha's coat because it was getting too warm in the room.,Why did Jesse do this?,talk to Jesse,bored,good,2,100
Quinn dropped the leaf out of Sydney's book that she was using as a book marker.,What will Quinn want to do next?,throw the leaf away,put it back in the book,get a new leaf,1,101
Lee put their hand to Skylar's lips because Lee wanted Skylar to stop talking immediately.,How would Skylar feel as a result?,supported by Lee,insulted by Lee,someone who does as they please,1,102
Sasha sent Taylor home after they complained of being sick at work.,How would Taylor feel as a result?,like going home,sick,like a liar,1,103
Tracy visited Cameron's mother in the home for the elderly and brought them some snacks.,Why did Tracy do this?,eat,make sure Cameron's mother wasn't lonely,talk,1,104
Casey took it everywhere with Robin because she didn't want to lose it.,Why did Casey do this?,she cared for it,she didn't want it,she wanted to lose it,0,105
Cameron arrived home and found that no one was inside the house.,What will Cameron want to do next?,enter the house,steal from the house,rob the house,0,106
Sasha met Kendall's customers at the conference and stole their business.,What will happen to Kendall when this happens?,increase her staff to take on the new business,meet with her customers to fulfill their needs,lose customers,2,107
The place was too crowded to sit down so Tracy found another place to go.,What will Tracy want to do next?,go to work,go home,find a place to sit,2,108
Austin held the tape securely in place while dad took a measurement of the room.,What will Austin want to do next?,lp his dad with the room,Leave his dad to work alone,snap closed,0,109
Kai noticed everyone was invited to the party and wanted to come too.,How is Kai feeling?,left out,unwanted,feeling curious to go,0,110
Quinn surmounted every obstacle in her college career.,How would Quinn feel afterwards?,smart,very lazy,like a success,2,111
Lee just got out of prison for assaulting Kai. Lee saw Kai this afternoon.,How would Kai feel as a result?,happy for him,terrified of him,proud of him,1,112
"Jesse had many talents, but he refused to work any job.",Why did Jesse do this?,teach others his talents,leech off of the system,find a job he likes,1,113
Addison purchased the tickets at a high price right before the show started and rushed in.,What does Addison need to do before this?,ask Becky to hold her place in line,get free tickets for the show next week,quickly get tickets before they sold out,2,114
Cameron met Kendall's husband who had all the qualities that Cameron was looking for in a man.,How would Cameron feel afterwards?,happy for Kendall,longing,angry at Kendall,1,115
"Tracy was always the type who liked to party, she was excited it was her birthday, and invited people to her house.",Why did Tracy do this?,loved the party scene,socialize,was not the party girl,1,116
Bailey used his hands to communicate to the people about his results on the test.,How would you describe Bailey?,feeling loved,excited about the passing grade,feeling bored,1,117
Lee has been away at college for the past 6 months without being able to take vacation. Lee finnally got a weekend off from school and work. Lee decided to visit their mother.,Why did Lee do this?,take her to dinner,help her around the house with home improvement repairs,see the family,2,118
"CArson was not home and Tracy was bored, so Tracy put Carson's puzzle together.",How would Tracy feel afterwards?,Proud,Scared,Shocked,0,119
"Due to his love for the animal, Ash prevented his dog from moving.",How would you describe Ash?,loves preventing dogs from moving,sad,keep his pet,2,120
Cameron bowed their heads in shame after losing the match by a lot.,What will Cameron want to do next?,bored,lose the match,proud,2,121
Austin helped another team mate because the guy needed the help.,How would Others feel as a result?,amazed,envious,neglected,1,122
Ryley was unaware that her cuts had baited them out.,How would you describe Riley?,Happy,like a sorry person,Shocked,2,123
Sydney went camping with a good friend of theirs and had fun.,What will Sydney want to do next?,repair a window,sleep in a tent,buy a cell phone,1,124
"Tracy new Cameron's mother was in the hospital, so one day she visited.",How would Tracy feel afterwards?,considerate,felt sad to see her in bad shape,felt happy she was hospitalized,1,125
Austin helped another family when they were in need.,What does Austin need to do before this?,check up on the family,get close to the family,make a plan,0,126
Quinn spoke Spanish fluently and communicated on behalf of those that didn't.,How would you describe Quinn?,happy,accomplished,help more next,1,127
"When Remy told Sasha that they would be moving to another country, Sasha felt like Remy had turned her life upside down.",What will happen to Remy?,resent Sasha's attitude,miss Remy,try and make Sasha excited about the move,2,128
Aubrey's face turned red after they choked on a piece of the chicken.,What will Aubrey want to do next?,tell the waiter to bring the check,do the maneuver on their own self,do the hokey pokey and turn around,1,129
Addison called their bank the next day to find out what happened to the desposit.,What will Addison want to do next?,go to the bank in person,complain to the bank,get the money,2,130
Lee left Taylor's car in the repair shop overnight so that it could get repaired.,What will Lee want to do next?,do Taylor a favor,pick up the car in the morning,return the car to Taylor,1,131
"Riley worked hard to make a cake for the job party later today, he knows everyone likes cake at the office.",How would Others feel as a result?,The others will be bored out by the idea,thoughtful,happy,2,132
Aubrey's birthday was approaching and Cameron decided to surprise them.,What will Aubrey want to do next?,hug Cameron,spit at Cameron,Plan a party,2,133
Ash thanked Aubrey's father profusely for all of the help and guidance that he had provided.,How would you describe Ash?,unappreciative,appreciative,thankful for all the help and guidance Aubrey's father gave,1,134
People invited Kai because he would be fun at a party due to his energy.,How would Others feel as a result?,that they had fun,regretting inviting Kai,that they were bored,0,135
Jordan started a band with his friends and had a good time making songs.,How would you describe Jordan?,feeling lazy,like the time was well spent,feeling proud,2,136
Bailey went back again for seconds at dinner because the food was good.,What does Bailey need to do before this?,of eaten some,of asked for some,talk about food,0,137
Every Friday Marcus Theatres® has special admission prices for anyone age 60 and over. Come and enjoy a movie at any Marcus Theatres® with our Young at Heart® special – only $6.00 for any show that starts before 5:30 PM. Additional charges apply for 3D features.,What does Addison need to do before this?,5 Tuesdays discounts also extend to concessions! AMC Stubs members can also get cheap easts with a $5 Cameo Combo (cameo sized fountain drink and popcorn),"at any AMC or AMC CLASSIC® theatres, or a $10 Flatbread at participating AMC DINE-IN™ theatres. ... The $5 Tuesday discount applies to showtimes on Tuesdays only","No children 6 and under are allowed into a ""R"" rated movie",0,138
"Jesse was really hoping to write books, but hadn't made it yet, so Jesse published articles in journals.",How would you describe Jesse?,skilled,Goal-oriented,Lazy,1,139
Tracy included another hint so he knew what to buy her.,What will Tracy want to do next?,mention the first hint,ignore him,show him what to buy,0,140
Aubrey took some money from her parents and bought some lunch with it.,How would you describe Aubrey?,full,selfish,honest,1,141
Lee was not focused on the task. Quin caught Lee's attention.,Why did Quinn do this?,talk to Lee,help distract Lee,get Lee on task,2,142
Robined determined their fortune was to do their best.,Why did Robin do this?,proud,decide how to do it,lucky,1,143
Robin gave the children candy but it wasn't the good kind.,What will the children want to do next?,hit Robin,go to another house,convince the children to accept the candy,1,144
"Carson has always been known for being a liar, he never tells the truth.",What will Others want to do next?,be hopeful for Carson's change,Ignore Carson,tell lies,1,145
Kai painted the town red that day and had a lot of fun.,What does Kai need to do before this?,ask about fun,have fun,live in town,2,146
Quinn could jump very high and easily got a slam dunk.,How would Others feel as a result?,as accomplished,annoyed by Quinn,entertained by Quinn,2,147
addison had a secret to keep but told my friend.,How would you describe Addison?,nice,kind,annoying,2,148
Alex placed the fish they just caught in Jan's mouth.,How would Jan feel as a result?,like eating sushi,like punching Alex,happy with Alex,1,149
Casey chewed the cub because they thought they were a cow.,How would Casey feel afterwards?,like acting like a human,like drinking from a trough,a meat eater,2,150
carson was not great at expressing himself so he found a book to describe his feelings better.,How would you describe Carson?,as hopeful,as depressed,calmer,0,151
Lee flew towards Robin because of the big news about the circus coming to town.,How would Robin feel as a result?,ecstatic,wanting to tell,bored,0,152
Alex is a store owner and observed every person's contribution carefully. Alex rewarded every person accordingly.,Why did Alex do this?,contribute to the local community,close his store soon,reward more for more deserving persons,2,153
Cameron was working for a campaign and trying to elect a candidate.,Why did Cameron do this?,research the candidate,wanted to stop opponents,wanted to be honest,1,154
Casey was a chef who was preparing a meal for customers.,What does Casey need to do before this?,be on tv,be an expert,do their job well,1,155
Riley saved every dollar in hopes of saving for a down payment for buying a home.,Why did Riley do this?,did this so she had a down payment,did this to buy a new car,did this to pay off credit cards,0,156
Cameron wasn't looking and almost put his hand on the stove when Kendall pulled Cameron's hand back.,What will happen to Cameron?,not get burned,tell Cameron not to do that,yell at Cameron,0,157
Remy helped Sasha turn their life around by finding them a good job opportunity.,What will Remy want to do next?,help Sasha succeed,Thank Remy for their effort,Prepare themself for whatever requirements are needed for the new job,0,158
Tracy taught Bailey to be a great friend to others.,Why did Tracy do this?,be a outcast,like a good parent,fit in,1,159
Taylor tuned Sasha's guitar so that Sasha could play for the crowd and her fans.,What does Taylor need to do before this?,support Sasha,needed to be angry at Sasha,needed to be a fan of guitars,0,160
Austin remembered Tracy's name after meeting them at a random college party.,What does Austin need to do before this?,meet Tracy at the school,go to a class,meet Tracy at the party,2,161
Taylor looked better after she got a manicure.,How would you describe Taylor?,Very sloppy,Caring about her appearance,pretty,2,162
Robin met Jan for dinner as soon as he got back in town.,What will Jan want to do next?,go to a movie,pick a place for dinner,make a dinner reservation,0,163
"The dog was barking angrily and had backed the family into a corner, but with a broom in their hand, Kendall kept the dog at bay.",Why did Kendall do this?,wanted to protect their family,get the dog away,distract the dog,0,164
"Jan and friends felt beautiful in new dresses, but the kids still made fun of them.",How would you describe Jan?,of high self esteem,a weeping willow,sad,2,165
jesse wanted a new job so he applied to jobs in her industry.,Why did Jesse do this?,have the person get him a job,wait for a phone call,keep living his old life,0,166
Carson was being noisy during the play rehearsal. Kai told Carson he must be quiet during the rehearsal or he couldn't stay.,What will Kai want to do next?,quit,go practice,go home,1,167
Riley asked Cameron's sister for help and Cameron said they both would help.,How would Cameron feel as a result?,unaware of the request,a good friend,unavailable to help,1,168
Cameron shrugged their shoulders and Jan when asked what they were doing.,What will Jan want to do next?,be talkative,find out,talk about what they are doing,1,169
"Even though they were coworkers, Tracy constantly bossed Ash around.",What will happen to Ash?,Complain about Tracy,get in trouble for being bossy,Learn from Tracy's mentoring,0,170
Lee was in an airplane and going to visit Robin. Lee flew towards Robin.,How would you describe Lee?,glad for coming to see Robin,someone who likes to fly,excited to visit Robin,2,171
Kenall bosses all the other players on the team around and they decided to quit.,What will happen to Others?,look for another team to join,ask Kendall to coach their new team,criticized,0,172
Alex asked the doctor for medicine after he ran out of his allergy pills.,What will Others want to do next?,avoid taking medicine,write him a prescription,develop a new medicine,1,173
Cameron decided to drive away as Riley looked on and watched them.,What would Cameron be feeling afterwards?,happy they could get away from Riley,upset they had to leave Riley so soon,relieved they could get a break from Riley,1,174
Kai dressed in their clothes despite never asking them if it was alright.,How would you describe Kai?,an open book,open and honest,a bit shady,2,175
Skylar bought thank you cards to give to theirs friend the other day.,How would you describe Skylar?,grateful,As someone that knows about their friends,proud,0,176
Jordan always paid their employees very well and with generosity.,What will the employees want to do next?,appreciate Jordan,be a good boss,ask for a promotion,0,177
Tracy craned Carson's neck to make him feel better.,How would Carson feel as a result?,falling apart,like bonding,mad at each other,1,178
Austin tried to help some customers that were being very rude to him.,How would Others feel as a result?,smart,good,angry,1,179
Carson brought the spoon to Taylor's mouth so Taylor could eat.,What does Carson need to do before this?,bring a cup,leave the house,sit with Taylor,2,180
Alex had to make a quick run to the restroom but got right back after 5 minutes.,What will Alex want to do next?,go back to what she was doing,go home,urinate,0,181
Jesse published photos in journals about the war.,What will happen to Jesse?,read the journal,show the photos,be promoted,1,182
"Ash is a police officer. After pulling a car over, Ash prevented the car from moving.",Why did Ash do this?,believed the driver was speeding,see the driver's license,believed the driver eating,0,183
Ash didn't take Casey's decision to leave their job lightly.,How would you describe Ash?,special,listened to,worried,2,184
"This fall, Lee moved from Minnesota to Florida for Bible college.",What will Lee want to do next?,visit his friends in Minnesota,play in the snow,go to the beach for the first time,2,185
Jordan took Kai's view on the subject that they were discussing.,What will Kai want to do next?,ask Kai about other subjects,make good decisions,find more things to agree with Kai on,1,186
Sydney was kissing Cameron and decided to move away from them.,What will happen to Sydney?,kiss again,uncomfortable,smile,2,187
Sasha arrived hurriedly from work in order to be on time for their dinner date.,What does Sasha need to do before this?,Waiting patiently,take a slow walk to the restaurant,rush to leave work early,2,188
Kendall knew much more than others because she studied a lot every night for a year.,Why did Kendall do this?,smart,keep studying every night,lazy,0,189
Kendall left Jan high and dry and the bus stop.,What will Kendall want to do next?,be angry,explain,get revenge,1,190
Tracy annotated the thesis for use and the administration approved it for use.,How would Tracy feel afterwards?,was eager to share it with friends,a graduate student,was tired and wanted to sleep,0,191
"After breaking up on social media, Sydney made Quinn very sad.",What will happen to Quinn?,smile,move on,cry,2,192
Carson wondered where he left his phone he put the clues together and remembered where it was.,What will Carson want to do next?,call someone,was leaving the house,store his phone,2,193
Skylar was living in a high rise and had to announce guests. Skylar gave the concierge Ash's name when he came to visit.,What does Skylar need to do before this?,needed to talk to the concierge,needed to plan a stay,arrange a meeting,0,194
Casey loved their dog and had the best of times with them. Casey took their dog everywhere.,What will Casey want to do next?,take their dog to the park,let the dog do its own thing,leave the dog at home,0,195
Kai wanted company so she decided to take Robin with her to the stand.,What does Kai need to do before this?,put on shoes,Grab her car keys,Go back to bed,0,196
Addison showed Aubrey how they climbed the ladder. Abrey worked Addison's way up.,What will happen to Addison?,climb the ladder,made bad choices,get better,0,197
Lee found the Northeast to be way too cold. Lee decided to move to Florida.,How would you describe Lee?,happy,someone who likes cold weather,someone who likes the heat,2,198
"Cameron had hurt his friends feelings, but with an apology he set things right.",What will Cameron want to do next?,forget it every happened,remember the lesson,blow his friend off,1,199
Taylor made Tracy resistant to change because things went poorly whenever Taylor changed things.,What will Tracy want to do next?,make sure everything stays the same,bad,express distaste for change,0,200
Riley went to the mall with Cameron to go shopping.,What does Riley need to do before this?,drive to the mall,pick up Cameron,earn some money,1,201
Ash prevented the door from moving so the others could get out.,What will Others want to do next?,The others will leave next,needed to lock the door,needed to place a brick next to the door,0,202
Carson went to school so they could learn. Carson sat next to Riley in class.,Why did Carson do this?,interact with students,develop a friendship,develop a romance,1,203
Sydney had a dinner party last week to welcome her new co-worker.,How would you describe Sydney?,very accommodating to others,find a new job,glad she welcomed the new coworker,0,204
Others asked Casey the interview question. Casey described their experience.,What will Others want to do next?,elaborate on it,silence Casey,listen to Casey,2,205
Sydney broke up with Jesse after a while because they didn't have anything in common.,What will happen to Jesse?,find someone new,thank Sydney,cheat on Sydney,0,206
"Riley landed a job at the bank, so they started a party.",Why did Riley do this?,RSVP,get drunk,attend,1,207
Carson really wanted to buy a new toy to donate to the women's shelter.,How would you describe Carson?,a woman who cares about toys,a good friend to the shelter,a good provider of presents,1,208
Quinn took a test in their class and got a very bad grade on it cause they did not study hard.,How would you describe Quinn?,guilty,lazy,regretful,1,209
Carson concealed Taylor's identity but blurring on their face and editing their voice.,What will Taylor want to do next?,reveal their identity,trust Carson,be hidden,2,210
Lee put Remy's phone away in the drawer during the math class final exam.,What will happen to Lee?,dismiss the class and wish them a nice day,nervous,give Remy their test back at the end of class,1,211
"Tap water in Jordan is generally safe to drink, but for a short trip it's better to stick to bottled water. This is readily available but check the seal has not been broken. Alternatively, you can boil tap water for 10 minutes, use water purification tablets or a filter.",What does Jordan need to do before this?,a leading cause of snakebite within its range,"Snakes in Jordan. There are 37 species of snakes, of which 6 or 7 of which are venomous, depending on the source. The Palestine viper",based in Arabic and Islamic elements with significant Western influence,0,212
Sasha got a really good score on the test she took for math class.,How would Sasha feel afterwards?,boring,intelligent,studious,1,213
Bailey organized home's for a living. Bailey took on Taylor's place next.,What will Taylor want to do next?,continue to organize Bailey's home,get Bailey's house next,help them organize,2,214
Lee looked at Kendall like that woman did and quickly moved to ask her to dance.,What will happen to Kendall?,she will like him,take a break from dancing with Lee,decline Lee's offer to dance together,0,215
Ash visited a friend who had moved to the next town over for college.,What will Ash want to do next?,wanted to catch up,stay indoors,see the town,0,216
Kai needed sleep for their health but Kai kept playing games. Remy put Kai's head down on the pillow.,Why did Remy do this?,play games in Kai's stead,make Kai get enough sleep,get the blankets,1,217
Aubrey saw every episode of their favorite television show.,How would you describe Aubrey?,loyal to the show,happy about seeing every episode,very fulfilled,0,218
